design_id,split,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle,cd
E_S_WW_WM_185,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61686,4.50221,-5.70982,-13.832,1.8,1.93,2.97206,8.16735,26.4843,138.125,-5.9827,-0.1,10.0107,-0.3,44.8676,-5.36598,25.7246,25.8662,-36.5061,-10.5352,115.919,-3.11164,108.361,0.2971705698139535
F_S_WWC_WM_465,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.94925,9.67803,17.186,-17.7123,2.27,-0.54,6.42536,2.24477,-13.0257,-58.8338,-13.7142,0.5,1.61959,0.3,27.3363,5.94821,9.41779,31.6547,-50.9923,-22.6828,-39.7845,-42.3428,-25.5712,0.2782802859069768
F_S_WWC_WM_548,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.58885,10.144,-6.53278,6.75159,0.44,1.28,-3.52195,-3.58009,6.00359,141.855,-3.13219,0.4,22.5363,-0.1,-13.4696,27.4684,-19.756,-21.0421,68.5683,-23.9572,50.157,82.4501,58.7152,0.2433920103521595
F_S_WWS_WM_613,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-5.03014,4.91857,-5.79647,2.51025,-0.46,-1.07,-8.88564,-3.65379,-4.98514,-70.8767,-2.47683,-0.1,-15.7129,0.6,55.4126,2.03339,29.99,-16.9719,63.3007,-27.8561,132.994,-35.6353,100.016,0.2268463977707641
F_S_WWS_WM_147,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.3885,-7.85919,16.3721,-9.58829,1.45,-0.19,6.93124,-2.60253,42.8236,21.1247,1.07315,-0.4,31.7414,-0.3,32.3662,-4.33259,-8.85512,-7.34826,70.4007,-16.1393,33.5204,-33.7808,102.234,0.2239337389003322
E_S_WWC_WM_648,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.51607,3.895,11.5353,7.9076,-0.22,1.19,2.74223,3.88061,39.1704,-30.9248,-4.85442,-0.3,22.0729,0.5,31.7787,16.0878,10.352,-23.9465,-40.8077,17.8059,-8.94963,85.7089,135.488,0.2502038835149501
F_S_WWC_WM_515,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.53704,1.05902,-5.20168,17.4173,-1.43,1.97,15.3148,-1.5833,4.58489,11.6853,-3.25527,0.2,21.1829,0.8,-14.2606,6.07731,29.607,19.041,50.211,-8.20921,131.467,-23.1996,-104.661,0.235495892667774
N_S_WWS_WM_170,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.86378,11.1875,-5.55715,-2.89642,0.35,-0.91,-7.80238,2.71796,-20.5981,-7.56337,-6.94273,0.5,-14.3851,-0.3,31.3333,-3.93781,29.7656,31.4098,90.0618,36.4558,78.6205,-27.9779,-92.4595,0.255171016578073
E_S_WWC_WM_156,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.23496,12.0603,12.8723,17.3574,1.15,-0.37,-9.64564,0.677856,-42.9137,136.366,-9.15881,0.5,-16.5683,0.7,7.62867,4.3813,23.4766,37.0708,-24.2997,-25.9856,51.909,-11.8186,-94.9144,0.2981198052458472
N_S_WW_WM_637,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.764904,7.90004,19.3937,-12.9339,1.65,2.29,17.7764,9.01102,39.1704,-84.5359,-6.78225,0.5,-3.50408,0.1,8.85438,23.1629,-15.2673,-3.70989,10.3125,7.90215,41.0008,16.3814,-9.4962,0.2482498127840531
F_S_WWC_WM_455,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.27606,3.95079,9.61736,-18.4379,-1.2,-1.59,-4.60726,8.43806,-47.7511,119.764,-2.56468,0.4,0.698004,0.6,-20.947,12.352,-24.2851,18.5333,28.3285,-0.0409913,123.189,-22.7807,-53.2464,0.2402794271960133
N_S_WWS_WM_377,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.59004,13.4543,12.5852,15.6572,-1.28,-0.89,4.14508,6.67938,-36.7985,-53.3626,3.8811,0.7,36.9015,0.2,23.6494,9.24327,-23.2451,-9.11786,108.796,9.63446,10.3986,70.0555,-147.121,0.2360515127475083
E_S_WWC_WM_492,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578123,12.7748,13.33,-6.74857,-0.21,-0.34,-1.72091,3.52759,47.7597,83.9049,-7.55754,-0.3,-24.197,0.8,2.48682,27.2607,-14.4471,-20.2987,-4.87615,-18.2581,-23.0147,71.7715,-59.6409,0.2882385820199335
F_S_WWS_WM_597,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.72771,-6.14775,7.46641,19.3909,2.3,0.48,-7.98183,-2.58163,27.2601,-37.628,-4.2957,0.3,31.3132,0.6,44.9977,10.8048,-21.2684,-3.76045,17.0421,27.0816,-47.0149,29.4227,96.1793,0.2293700436744186
N_S_WWS_WM_268,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.9226,-3.42358,14.0472,-14.8876,1.11,-0.55,18.2962,4.02436,-1.20435,-53.0807,-9.50299,0.8,13.7857,-0.4,54.8762,4.62244,-6.0545,13.5878,86.4707,17.9518,7.87287,43.7361,-71.3932,0.2359299613920265
F_S_WWS_WM_055,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.1353,1.93078,9.32299,-10.9935,0.59,-1.24,-1.64344,-4.92366,14.5829,-61.2858,-7.48999,0.3,8.32843,-0.1,9.89929,-7.68389,-26.8854,23.6259,104.28,-45.9744,16.2842,-57.8694,85.6533,0.2511251281993356
N_S_WW_WM_140,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.633,2.86378,14.3026,-8.03838,1.5,1.22,15.5182,1.06589,48.1842,109.751,-7.42486,0.4,-30.7598,-0.2,58.1043,6.77491,9.21934,36.3853,5.43624,49.411,-19.484,56.7341,87.5564,0.2668614067873754
N_S_WWC_WM_230,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.60208,3.99311,12.7023,3.08647,0.32,-1.29,-5.47171,5.94528,-47.9362,82.2121,-2.6242,-0.1,-25.4296,-0.1,36.3678,22.8491,22.7259,9.1218,-45.9869,21.977,-50.379,-28.5512,-193.215,0.2430490740498339
E_S_WW_WM_639,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76173,1.75572,-2.16443,-4.61217,2.17,-1.78,2.74223,8.54309,46.983,98.7461,-1.90909,-0.2,18.8171,0.5,4.49291,25.3365,17.3806,47.157,14.5019,9.77373,66.679,-10.2982,7.92333,0.2984710303355481
F_S_WWS_WM_059,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.16844,8.81047,7.91095,-3.98225,-0.61,-0.13,9.98959,3.75343,-43.0258,70.4447,-5.71221,0.2,-12.4045,-0.1,-24.4181,8.45809,27.5041,-13.1739,43.9449,-47.0876,80.607,-29.3383,113.353,0.2389163980728477
E_S_WWC_WM_299,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22373,-0.948227,-4.66255,0.424774,-0.33,0.97,3.36924,-3.98273,-43.5714,139.904,3.60083,0.0,18.4218,0.2,0.563805,13.1763,-21.2684,16.8775,108.355,-4.53353,45.6146,48.6286,-173.595,0.2783968333521595
F_S_WWS_WM_615,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.5966,6.58033,10.3661,-16.182,2.35,-0.57,17.7241,1.57323,3.55727,-4.0376,-9.30434,0.4,27.268,0.6,-6.19504,27.0065,-17.844,-18.2874,119.105,-6.85966,34.1199,-30.9924,62.1126,0.2378359024817275
N_S_WWS_WM_308,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.57663,-1.09839,6.78325,18.5492,0.53,1.54,6.56771,5.99262,33.1547,-38.8581,-13.4194,-0.3,38.2036,0.2,-1.3985,15.3858,28.0424,34.1731,3.71275,-15.8874,3.08829,86.4245,-172.79,0.2599170813289037
N_S_WWS_WM_409,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.90626,10.3602,0.0805201,-11.6002,-0.42,2.0,-5.33695,0.931802,-25.7963,96.1536,4.24351,0.4,11.384,0.5,15.7247,-0.0712194,2.2374,50.5181,-53.1378,-27.4403,112.168,12.3265,-156.544,0.239858144461794
F_S_WWC_WM_241,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.40789,-0.173017,-0.273907,-10.0037,-0.92,0.21,10.2134,-4.74297,6.61181,26.6677,-2.58107,-0.2,-16.3513,0.7,38.8672,-9.78815,-1.85329,-23.6688,-56.2973,46.6781,16.2842,23.3243,-44.2832,0.2108007124186046
E_S_WW_WM_638,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0401,2.94791,10.6834,-14.8537,-1.52,0.82,3.77169,9.96033,27.3679,-72.1825,3.49757,0.6,12.1925,0.9,-9.98477,16.7393,14.9701,28.2997,38.5373,-39.4814,28.0688,48.6987,-173.263,0.2641209015016611
E_S_WWC_WM_133,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25286,8.72528,-4.93681,17.5872,-0.13,0.9,-7.01534,8.85415,-41.8221,71.2527,-13.7142,0.1,-1.79199,-0.3,47.1069,21.0126,-6.14367,13.6288,18.4678,-17.2085,8.78044,23.8289,143.065,0.2890218299933555
N_S_WWC_WM_215,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.05856,-5.90353,11.0752,-19.5964,-1.56,1.3,2.56098,0.127388,-27.7507,1.06261,-0.694316,0.7,35.4901,0.7,-12.5838,8.53328,4.31735,6.00291,28.8622,-14.3701,60.274,-51.0257,140.564,0.2236165182225914
N_S_WWS_WM_003,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.6885,7.9281,1.25661,-11.5463,-0.55,1.27,-5.84264,8.5266,49.2193,-33.3192,-5.88646,0.4,14.3055,0.6,41.8471,17.3775,1.7845,-14.6882,127.773,35.0857,3.74546,64.5279,-56.1091,0.2481878131196013
F_S_WWC_WM_580,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.555189,6.75126,5.58703,-6.20011,-0.68,-1.72,11.8357,-2.1215,9.0838,5.97437,-12.055,-0.3,-29.0615,0.1,-15.9886,-5.78727,-17.3082,41.9257,110.033,17.5118,135.577,-10.7594,-126.79,0.2859139703322259
E_S_WW_WM_160,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7738,-6.1157,11.6085,-15.383,0.94,0.31,7.62675,8.66377,-45.7607,64.0663,-14.9069,-0.2,-1.95096,0.3,-5.1535,2.70209,-23.4284,37.0708,106.086,10.1514,-35.8993,-53.8721,-139.882,0.2783262003521595
F_S_WWC_WM_428,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.7152,10.9957,17.4755,-5.69315,-0.03,0.58,19.8599,2.66639,13.1465,-54.3218,2.64218,0.3,-36.0512,0.7,14.3133,10.0591,-3.79551,-20.6443,-45.1315,18.0511,20.3003,-44.1485,12.8688,0.2390024167242525
F_S_WWC_WM_387,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.6463,-4.16083,-5.10818,12.0063,-0.22,1.71,13.2762,4.13569,8.96469,-88.1711,-6.12789,0.1,1.04996,0.9,58.3076,-6.82119,13.1947,46.1433,-22.549,18.2405,-8.94963,40.2147,91.0721,0.250580365744186
E_S_WWC_WM_457,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.09493,1.49643,2.28885,15.4852,0.0,-0.97,-8.23621,-1.81284,-4.20289,101.391,-9.65864,-0.2,10.5945,0.3,-3.53813,4.19707,-25.1647,50.2406,-55.1424,47.4212,106.073,18.6581,23.6534,0.2911410606112957
E_S_WWC_WM_658,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.405066,0.0283161,11.3489,-8.67436,2.13,-0.46,13.2299,-2.22128,-41.41,137.495,-12.7254,0.6,16.877,0.6,-14.6239,16.9562,-8.93864,41.1256,61.8747,-45.3203,71.2524,27.1138,-142.749,0.2898063119767441
F_S_WWC_WM_265,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0784,9.37736,10.0382,12.7009,2.5,-1.44,3.0695,6.84916,-31.1671,21.2901,0.369002,0.5,-4.72497,0.5,39.4054,-13.4056,-13.0547,35.2396,25.8801,41.3073,23.344,-54.8254,20.3829,0.2631293246877076
E_S_WW_WM_218,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.65062,6.82613,16.7514,14.0672,1.62,1.22,-8.5976,1.32769,-31.9646,-2.5097,-6.45312,-0.4,-17.0124,0.5,-4.85982,12.9191,-28.9444,48.5099,29.9363,-6.81745,-42.9489,20.5198,-58.9729,0.2865893397541528
N_S_WWC_WM_272,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.60013,0.586839,-4.27878,-18.8349,0.8,-0.85,-1.52171,6.71762,-27.4549,76.6626,1.64748,0.8,13.9858,0.9,37.1355,7.05442,-20.1551,17.5576,115.443,-7.29189,2.26356,69.4087,7.44808,0.2192413246910299
E_S_WWC_WM_474,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.92915,-4.58863,7.50694,6.7236,0.92,2.31,-6.36673,-4.98489,37.1317,99.9412,-9.56481,0.7,-18.7318,0.3,-14.9242,-2.72914,2.87109,40.8965,54.9976,-29.1653,75.8858,51.4262,114.527,0.264789017475083
E_S_WW_WM_659,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.23519,-2.75033,10.17,-7.69095,-1.21,-1.6,5.97905,-0.280635,23.3473,-62.6804,-1.7173,-0.2,-5.05194,0.9,5.45043,27.6731,-12.9698,14.8459,-58.9085,-16.6665,89.3249,35.0962,-87.1701,0.2484481848039867
N_S_WWC_WM_178,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.4146,-1.27814,18.3514,-8.67436,0.49,2.21,18.8262,4.94487,18.9938,-23.977,-4.07047,0.3,10.464,0.9,-16.178,-10.4183,-2.41841,17.3548,126.183,-4.40546,67.8185,50.2196,73.9531,0.2317369686578073
E_S_WWC_WM_488,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.90626,2.49074,6.88821,-17.6349,-0.99,1.07,-1.28752,-3.19546,36.6154,-59.3641,-0.245702,-0.2,-21.6934,0.6,-9.6818,0.73718,-19.3991,7.7442,22.6206,-42.3998,-57.6126,75.974,123.352,0.2697397024717608
N_S_WWC_WM_481,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.40066,-0.247541,9.76116,-12.4133,0.07,1.81,-9.22453,-3.46384,38.7624,-56.0578,1.15648,-0.1,18.3749,1.0,22.2709,-15.1505,-0.990484,15.4139,-5.59761,-23.8446,22.7867,-9.64204,3.42872,0.2462971770398671
N_S_WW_WM_213,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.12966,10.0552,-2.73747,10.7134,-0.98,1.77,5.89468,6.85233,24.5197,-93.5708,0.00211947,0.6,-15.4274,0.5,-19.4642,0.220742,11.7442,38.8872,62.9398,-41.8928,-5.64189,78.5295,116.116,0.2584978146013289
F_S_WWC_WM_084,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.2492,-5.72543,8.67513,5.90266,-0.76,0.73,4.38943,-0.0200747,-12.4536,40.1784,-9.46416,-0.2,35.3167,0.4,56.1875,23.7151,-1.59406,44.2848,59.9544,45.2873,113.389,-44.8365,-153.417,0.2332094869069767
F_S_WWC_WM_109,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.26863,7.4964,4.42385,-13.7415,-1.41,-1.73,-1.88508,4.88355,-4.30148,-41.1733,-6.50598,-0.1,8.21811,0.3,49.5118,-4.68787,29.2287,47.3148,-54.6857,-21.0715,15.9015,-30.3505,-164.859,0.2785495912026577
N_S_WWC_WM_036,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.20527,-7.05529,-6.98621,-2.83808,0.22,0.08,0.698215,0.178346,15.1586,142.078,-3.83046,-0.4,-11.9176,0.4,14.4584,18.4153,-0.85356,-5.65076,17.3291,11.6634,77.0161,41.3316,147.043,0.2281819772857143
F_S_WWS_WM_490,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.275,6.08096,11.7464,11.1593,-0.08,1.97,-3.14621,4.57333,-22.2054,75.5718,-12.2506,-0.3,-6.61694,0.4,0.114685,-4.81509,-17.9567,16.6766,72.3818,24.6815,113.809,-37.446,138.361,0.2490904054418604
E_S_WW_WM_571,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.02086,-7.983,7.54547,0.639528,1.05,0.38,3.52777,-4.5334,-40.295,100.378,-14.3513,0.3,-19.8882,0.0,1.5525,21.862,11.6486,45.2122,-14.0231,2.71386,95.0458,54.9323,79.0117,0.2848291019003322
E_S_WWC_WM_066,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51894,10.9343,-7.47713,-9.2503,0.19,2.22,11.2614,-0.698839,-45.3066,-49.1283,2.97433,0.7,-19.5915,0.1,35.9741,24.5449,20.2293,1.68866,-11.5411,0.604939,58.5519,21.3611,-11.5565,0.2492428705182724
N_S_WWC_WM_194,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.5541,10.6631,19.1044,-3.08968,1.13,-0.66,11.2558,5.03655,46.6988,-42.4613,-5.13467,-0.1,12.2714,0.0,7.1348,10.6845,26.8318,53.413,118.594,15.4316,9.72493,10.4492,-124.93,0.2745075439767442
E_S_WW_WM_386,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4146,-7.91724,-2.94028,3.97372,0.22,2.44,-4.18284,-3.24658,-6.06023,70.5622,-7.1142,0.1,18.6064,0.0,54.5683,-5.53382,11.0007,-20.789,49.5375,26.5475,69.4386,-47.118,28.4923,0.2403793087342192
N_S_WWC_WM_372,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.43353,2.2491,-1.59471,12.2498,-1.1,2.24,10.8492,7.42514,-29.8766,46.9333,2.22963,0.1,-28.6427,-0.4,59.5076,-7.83249,-0.704175,14.3318,-5.3357,-31.738,73.9349,-21.0844,98.1639,0.224335615551495
N_S_WWS_WM_383,train,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.76577,7.7218,-7.75726,-10.7556,2.08,-0.56,-5.53895,9.28748,23.5045,-0.991177,-5.23517,0.0,-3.96847,0.4,-23.244,5.62955,27.3481,31.2438,55.5281,-49.9954,114.822,37.5974,-35.403,0.2868671997940199
F_S_WWC_WM_273,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.83321,-7.46145,3.19505,7.19619,-0.46,0.56,0.930061,8.75662,38.0219,-55.4329,4.29155,0.6,10.2429,-0.3,26.1141,21.6262,19.841,9.26996,106.395,7.90215,18.3839,-52.7742,-99.0218,0.215323020295681
F_S_WWS_WM_537,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.1654,10.5604,-3.83545,-5.55156,-1.62,-1.48,17.8211,2.5134,-6.28835,133.552,-5.18845,0.4,3.25816,0.3,-9.31917,-8.51155,28.6893,33.9874,90.3981,17.3887,14.9901,72.5043,-89.8418,0.2427695341794019
N_S_WW_WM_411,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.63189,-3.48744,6.37581,14.3066,0.5,-0.86,8.3388,-0.296016,-32.4565,78.1785,-14.1623,-0.4,6.57527,0.3,-2.84197,5.49508,27.5968,-9.09088,-17.2526,45.8004,147.656,-8.79242,61.0775,0.2370705296146179
E_S_WWC_WM_418,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.21032,1.43308,9.00653,-14.2673,0.04,-1.63,2.31325,0.00704819,-27.1042,-46.3457,-14.8213,-0.2,-19.748,0.7,54.5683,12.5555,-10.518,-7.78533,40.278,49.7478,-13.1113,28.0341,-54.6862,0.2590729079169435
E_S_WWC_WM_260,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.94098,-0.564574,1.91858,2.44136,-1.59,1.74,10.2986,2.46397,3.3539,21.1247,4.81635,-0.3,24.9898,-0.4,12.5053,27.0065,13.7608,8.65484,38.3587,22.123,12.5537,1.40551,-65.5942,0.257252016089701
N_S_WWC_WM_174,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.3171,0.800555,3.36829,-5.83018,-1.79,-1.51,18.901,5.02336,-29.1622,-78.0554,2.49586,-0.1,-20.0893,0.4,19.8762,4.11563,3.5526,-13.0761,77.1772,-9.7414,41.9973,39.9591,-10.4763,0.203393977744186
F_S_WWS_WM_417,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-6.62923,-3.99629,10.6385,9.6809,1.06,0.07,-8.83108,-2.22128,-15.3576,108.392,-14.8349,0.7,22.8439,-0.2,-15.2223,-11.7401,-8.75506,20.4072,26.2965,22.1671,14.5495,-25.0282,68.603,0.2564241323222592
E_S_WWC_WM_535,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8159,0.34647,10.6385,17.9469,1.61,0.35,8.63848,7.64298,-15.9054,-9.68008,4.83236,0.4,-10.6546,-0.3,35.8074,12.7802,8.62141,10.3278,-44.7912,-36.497,29.4231,-57.6878,-94.0099,0.2507181781129568
F_S_WWC_WM_165,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.9994,6.79447,8.32477,10.6622,-0.7,-0.65,16.9043,5.05903,-35.1851,97.251,-14.7014,-0.2,21.978,-0.1,-6.70348,4.91595,-10.007,32.9451,75.3741,-47.9867,69.8634,49.4705,-56.6125,0.2731025562458472
N_S_WWC_WM_148,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.87987,7.10137,10.3576,4.85906,-1.67,-0.68,19.2022,-4.52843,-11.1197,41.9435,0.993291,0.7,-23.6146,0.6,-13.83,5.90722,-25.4146,3.49098,73.7437,17.005,59.6911,-41.6326,-180.892,0.2344907952990033
N_S_WW_WM_425,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.407562,-2.44012,4.04619,19.019,0.04,-1.69,9.27999,3.81856,-14.0135,-8.85926,-8.31891,0.0,-3.80685,0.9,52.5162,1.63284,18.4457,54.2891,121.445,-8.09683,138.117,-11.8186,-4.25558,0.2476901414451827
E_S_WW_WM_468,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8366,-5.75465,-4.40903,-2.47286,-0.82,2.12,6.21928,4.93156,-9.5333,133.902,-12.0624,0.2,24.4186,0.5,20.2346,-18.5253,9.44947,-17.5478,116.784,27.7239,4.04172,48.9029,-128.437,0.2677461851395348
E_S_WW_WM_153,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14677,12.9197,15.1255,-10.7131,-1.11,-0.03,-4.76959,0.847138,8.10467,-66.9677,-6.83131,0.8,11.8393,0.4,-3.91867,-13.8512,9.1674,-3.54409,-34.5863,-12.6902,130.822,86.1164,39.8272,0.2656553395215946
N_S_WWC_WM_463,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.2092,-5.52905,13.0451,-8.93235,0.29,1.55,3.01814,1.20952,7.4973,117.531,-11.8334,0.3,-33.1049,0.2,39.6505,-12.5678,23.3555,51.1757,-0.783167,-31.0079,92.4457,-25.9364,-158.345,0.2524826188272425
E_S_WWC_WM_529,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.07108,5.45388,3.12827,-16.8797,1.37,-0.19,-8.77331,5.27781,46.7191,-52.2153,3.06029,0.1,4.76878,0.6,-4.22358,-0.14394,8.75904,-20.0291,-34.5863,-45.2636,46.3447,37.9884,73.3081,0.2450146050564784
N_S_WWC_WM_084,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.1194,-5.72543,8.67513,5.90266,-0.76,0.73,4.38943,-0.0200747,-12.4536,40.1784,-9.46416,-0.2,35.3167,0.4,56.1875,23.7151,-1.59406,44.2848,59.9544,45.2873,107.081,-44.8365,-153.417,0.2390132511229236
N_S_WWC_WM_190,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.004,-6.76392,0.224627,8.06024,0.7,0.13,13.7383,1.70202,-25.018,-5.67779,-13.9054,0.6,-15.2625,-0.2,-21.9082,0.336808,0.91996,24.5074,21.3104,15.6381,144.461,13.6728,-160.809,0.2501375182358804
E_S_WW_WM_435,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.32028,10.9343,-4.8503,-2.17317,-1.21,-0.59,17.3132,5.70146,4.32712,116.172,-8.24217,-0.2,20.9035,0.8,10.3682,9.38984,-26.0957,33.883,42.3561,31.8706,87.5471,-33.7808,-148.474,0.3094802149568106
E_S_WW_WM_654,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0451,-6.5746,12.8085,6.58543,-1.09,0.3,13.7501,-3.92397,36.0333,-3.21977,-11.2049,0.7,7.41196,0.0,50.2388,16.8318,2.50592,-3.0717,-33.8118,12.6996,39.1891,-27.8196,124.137,0.254240281833887
N_S_WWC_WM_070,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.81563,-1.2177,-6.56008,3.60531,-0.1,-0.8,8.96836,-2.91352,32.3345,17.598,-6.61017,0.5,10.329,-0.1,-21.4003,27.084,-2.6999,47.5399,81.92,37.2096,-0.329092,-3.92932,-195.616,0.2420073044651162
F_S_WWS_WM_411,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.63189,-3.48744,6.37581,14.3066,0.5,-0.86,8.3388,-0.296016,-36.6226,78.1785,-13.0838,-0.4,6.57527,0.3,-4.85982,5.49508,29.4178,-9.09088,-17.2526,45.8004,147.656,-8.79242,61.0775,0.2265267781727574
E_S_WW_WM_067,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49218,8.4468,2.79728,0.958303,2.03,-0.78,-5.37821,3.33305,0.784581,143.336,-1.86766,0.7,21.8015,0.7,-2.02852,26.9475,-8.05447,33.613,103.785,42.4647,124.918,30.161,-84.0097,0.2919672262026578
E_S_WWC_WM_100,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67397,-4.22356,5.4515,15.0988,-0.95,-0.94,17.389,-1.15468,-35.7098,91.3046,-11.6486,0.4,5.20527,-0.3,37.5055,-1.6476,-9.7842,-15.2615,121.107,1.94394,-27.8243,0.0145039,-144.972,0.2411230724883721
F_S_WWC_WM_183,train,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.772398,9.31955,-4.63488,14.9643,1.25,1.01,18.363,5.87275,42.5343,6.30452,-6.70934,0.6,-24.5565,0.8,35.1424,17.4287,26.0829,6.11666,91.4767,35.7724,-17.4143,-24.3362,91.8619,0.2472833569003322
F_S_WWS_WM_532,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.97188,11.6352,4.55541,-12.1133,-0.99,2.0,18.6161,4.24606,-18.9902,45.5871,-10.9575,0.5,-22.4092,0.6,44.4888,25.5614,-8.5562,1.56144,59.1047,-45.638,-26.7921,-31.5236,119.036,0.2554211312624584
E_S_WW_WM_362,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895156,9.41738,9.5308,-1.07127,2.47,2.5,7.22347,4.91627,34.773,120.828,3.5865,-0.2,4.04223,0.4,58.695,11.5283,6.77011,18.7916,44.542,3.2606,36.7026,-6.36975,-198.146,0.2915131768737541
